job_title;company;location;salary;company_rating;description;posting_date;url_info
Associate - IFS - Data Analyst;PwC;Jakarta;NaN;4;"Line of Service
Internal Firm Services
Industry/Sector
Not Applicable
Specialism
IFS - Clients & Markets
Management Level
Senior Associate
Job Description & Summary
1. Pipeline Management:
Provides statistical reports and data for stakeholders by running recurring and ad hoc reports as requested.
Performing analysis to assess the quality of the Pipeline data.
Performing pipeline data cleansing and updating through communication with the data owner to ensure accuracy.
Provides statistical reports from the publicly available tender website.
Uses data mining to track trends and draw insight.
2. Client/Industry Report Management:
Provides statistical reports and data for stakeholders by running recurring and ad hoc reports as requested.
Collation of credential information for proposals, liaising with all relevant business units.
Uses data mining to tracks trends and draw insight.
3. Educate users on the CRM system’s functionality and procedure.
4. Provides support on user issues and appropriately escalate unresolved issues to the CRM supervisor/relevant BD person.
5. Work seamlessly with regional system development team on CRM system’s enhancement.
6. Engage and collaborate with relevant departments/personnel (i.e. with Finance Central, Finance , Risk Management, Secretaries, IT) to ensure the system works effectively and the data is consistent across the system.
Technical / Knowledge Requirements:
Undergraduate degree, preferably in Quantitative Analysis, Statistics, Mathematics, Computer Science or a related discipline.
Minimum of two years’ solid experience in data analysis.
Sound knowledge of Client Relationship Management (CRM) tools.
Expert in Microsoft Excel and various business intelligence and analytical tools.
Demonstrable experience of using data to draw insights.
Strong analytical capabilities, detail-oriented with excellent communication and interpersonal skills.
Self-motivated, able to work independently and under pressure.
A good team member, proactive , and with good problem solving skills.
Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:
Degrees/Field of Study preferred: Bachelor Degree - Business Analytics, Bachelor Degree - Statistics, Bachelor Degree - Mathematics, Bachelor Degree - Computer and Information Science
Certifications (if blank, certifications not specified)
Required Skills
Optional Skills
Desired Languages (If blank, desired languages not specified)
Travel Requirements
Not Specified
Available for Work Visa Sponsorship?
No
Government Clearance Required?
No
Job Posting End Date";Posted28 hari yang lalu;https://id.indeed.com/rc/clk?jk=3210b8bafab5d9d3&fccid=5e964c4afc56b180&vjs=3
Business Analyst;Arthur D. Little Austria;Indonesia;NaN;NA;ResponsibilitiesAs Business Analyst at Arthur D. Little Southeast Asia, you will work on defined sub-tasks of the assignment with the close support and guidance of your project manager. The Business Analyst’s role includes:Performing primary and secondary research to support team deliverables and solve complex client business issuesValidating and analyzing data to extract key insights to generate innovative solutions for clientsPreparing client reports, analysis, proposals and presentationsProviding input in client meetings regarding own workInteracting with clients/experts during workshops and interviewsAdditionally, you will also have the opportunity to contribute to the development of the office by taking on a role in the internal office organization.Requirements: Undergraduate or graduate degree with outstanding academic achievement from top-tier universitiesExperience in devising and implementing business strategies involving quantitative analysis, market research and performing primary & secondary researchExceptional problem-solving skills, broad industry knowledge and sharp business acumenEntrepreneurial, proactive and team-orientedExcellent communication skills in English. Proficiency in another ASEAN language is an advantage such as Thai, Vietnamese, Malay, Indonesian and Filipino (Tagalog)Willingness to travel within Southeast Asia and beyond for team and client meetingsInterested candidates are invited to apply with your Cover Letter and CV.Positions available in Jakarta, Indonesia. We regret that only shortlisted candidates will be notified.Arthur D. Little is an equal-opportunity employer. This means we are committed, as a firm, to ensuring that no employee, contractor, vendor, or job applicant is discriminated against because of their race, color, nationality, ethnic or national origin, religion or belief, sex, marital or civil partner status, sexual orientation, age, gender reassignment or disability.Job Type: Full-time;Posted30+ hari yang lalu;https://id.indeed.com/company/Arthur-D.-Little-Austria/jobs/Business-Analyst-ecced1ca3dd08a2b?fccid=a4270b163a674bc4&vjs=3
Data Analyst;PT. Omid Health Style;Jakarta;Rp. 3.500.000 - Rp. 5.500.000 per bulan;NA;Requirement:Minimum Bachelor in Mathematics, Statistics, Computer Science, Information Technology or other equivalent qualifications(or a data analytics certification acquired through a specific program)1) Fluent in Python and SQL.2) Excellent database management skills and visualisation tools, especially MS Excel and Google Sheets3) Knowledge of data collection/cleansing tools, e.g. pandas (Python library).Responsibilities:1) Collect data from sales to generate insights of trends and performances.2) Create data analysis to help company prepare marketing strategies.Part-time hours: 40 per weekJenis Pekerjaan: Penuh Waktu, Paruh Waktu, Prakontrak, PermanenGaji: Rp3.500.000 - Rp5.500.000 per bulanPengalaman:sebagai Data Analyst: 1 tahun (Diwajibkan)Bahasa:Inggris (Diwajibkan);Posted29 hari yang lalu;https://id.indeed.com/company/PT.-Omid-Health-Style/jobs/Data-Analyst-675a89498d776976?fccid=a69f1074ff0cecbc&vjs=3
SYSTEM ANALYST;PT Sahaware Teknologi Indonesia;Bandung;Rp. 3.500.000 - Rp. 7.000.000 per bulan;NA;What You Will Do (Job Descriptions)Deploy, maintain, and troubleshoot core business applications, including application servers, associated hardware, endpoints, and databasesMeet and coordinate with internal and external stakeholders to establish project scope, system goals, and requirementsDevelop, analyze, prioritize, and organize requirement specifications, data mapping, diagrams, and flowcharts for developers and testers to followTranslate highly technical specifications into clear non-technical requirementsManage the set-up and configuration of systemsDefine and coordinate the execution of testing procedures, and develop test cases to serve the overall quality assurance processProvide documentation of all processes and training as neededDevelop and implement maintenance procedures, monitor systems health, gather system statistics, and troubleshoot reported errors and alarmsPerform design, implementation, and upgrades of information systems to meet the business and user needsImplement best practices for scalability, supportability, ease of maintenance, and system performanceWhat You Will Need (Requirement)Bachelor's degree in computer science or information technology, or equivalent experience2-4 years experience working with information technologies and systems analysisStrong computer, hardware, software, and analytical skillsProven ability to assess business needs and translate them into relevant solutionsStrong understanding and knowledge of the principles and practices associated with database maintenance and administrationExperience installing, configuring, documenting, testing, training, and implementing new applications and systemsWorking knowledge of a wide variety of programming languagesExcellent analytical skillsJob Types: Full-time, ContractPay: Rp3,500,000 - Rp7,000,000 per month;Posted16 hari yang lalu;https://id.indeed.com/company/PT-Sahaware-Teknologi-Indonesia/jobs/System-Analyst-0c0024d6da576263?fccid=a14b788c349e482b&vjs=3
Project Control Analyst - Contractual based;Cargill;Gresik;NaN;3.8;"Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 155,000 employees who are committed to safe, responsible and sustainable ways to nourish the world. This position is in Cargill’s food ingredients and bio-industrial business, where we anticipate trends around taste, nutrition and safety to innovate and provide solutions to manufacturers, retailers and foodservice companies.
Job Purpose and Impact

The Project Control Analyst assists professional, middle and upper level management positions and work groups to carry out the day to day details of activities required for project success. In this role, you will handle tasks related to administrative processes, meeting or event logistics, customer inquiries, documents, correspondence and data management systems. Key Accountabilities

Partner with leadership to ensure all day to day activities around information management, communication, budget planning and adherence and vendor invoicing, payments and reconciliation are handled in a manner to facilitate project success.
Facilitate the completion of all paperwork and documentation around legal forms, agreements and contracts, human resources, staffing and employee data reports and financial information around budgets, project burn rates and expense monitoring.
Plan, coordinate and ensure logistical arrangements for conferences and meetings including facility coordination, agenda preparation, participant notification, assembly and distribution of necessary materials and facilitation of travel arrangements for participants.
Review and prioritize incoming correspondence, route information to appropriate personnel, respond to customer inquiries and requests and escalate items as required for important and high priority items.
Maintain document and data management system information including organizing documentation and data, performing moderately complex data entry and ensuring compliance with standard procedure for hard copy and electronic copy document management.
Execute project management functions as directed around project leadership, project planning, project execution, project control and project documentation.
Independently solve moderately complex issues with minimal supervision, while escalating more complex issues to appropriate staff.
Other duties as assigned Qualifications
Minimum Qualifications
Bachelor's degree in a related field or equivalent experience
Experience with email, spreadsheet and word processing applications
Knowledge of the functionality of project management tool control systems
Knowledge of portfolio management
Knowledge and experience with generally accepted project management methodologies
Minimum of two years of related work experience
Other minimum qualifications may apply Preferred Qualifications
Project management certification
Knowledge of related data base, visualization and collaboration tools and applications (ie Maximo, Oracle, Ms Project, SAP, etc)
Proactive and able to work independently
Demonstrated working knowledge of technical standards, principles, theories, concepts and techniques";Posted30+ hari yang lalu;https://id.indeed.com/rc/clk?jk=026c714c03c83bd2&fccid=d7d9a8241ba2f3ec&vjs=3
Data Analyst - Consumer Loyalty (GoClub);GO-JEK;Jakarta;NaN;3.9;"Location
Jakarta
Work Type
Permanent
Application Posted
October 22, 2021
About the Role
If you’re looking to be a part of a dynamic, highly analytical team who enjoys working with data, look no further. GoClub is a Gojek loyalty product part of the Loyalty, Partnership & Monetisation (LPM) group. As a Data Analyst specializing in GoClub, you will be building data products to support the team in achieving its business objectives. You are expected to help drive data strategies and business initiatives in GoClub. In addition to this, this role is expected to be a thought partner for leaders across the Gojek group in all things loyalty and retention. For starters, you will do this by working to solve some of the most challenging problems in formulating the right long-term benefits for high-value customers!
What You Will Do
Deliver analysis, insights, reporting, data marts, and tools to support the business team
Perform data modeling in relation to customer behavior, in-app behavior, and product features
Build & maintain data mart and dashboards for tracking business OKR and initiatives
Ingest both internal and external data to support business needs
Partner with business teams to make data-informed decisions
Identify product or business opportunities and support growth with experimentations and recommendationsWhat You Will Need
More than 3 years of working experience in data-related fields
Expert in SQL and strong experience with a Data Visualization and Reporting tools (e.g. Tableau, Google Data Studio)
Strong knowledge of ETL tools and Data Warehouse (e.g. Airflow, BigQuery)
Practical knowledge of programing languages (e.g. Python, Shell) and Python/R for statistical analysis
Practical knowledge of experiment design and statistical evaluation
A strong business acumen and communication skill; able to effectively deliver technical presentations to non-technical stakeholders
Comfortable working independently and collaboratively with minimal guidance
Ability to manage and prioritize daily tasks while being goal-oriented
Ability to think critically and strategicallyAbout the Team
Loyalty, Incentives, and Monetization (LPM) Data team is distributed across Indonesia, Singapore, and India.
The team helps various pods related to engagement & monetisation topics within Gojek. Various teams within LPM group (among others) are CRM, Promo and Incentive Tools, GoClub (Gojek’s loyalty product) and Growth Platform. In addition to this, the team works very closely with the following teams outside LPM group: product strategy & planning teams, digital marketing, and consumer platform (customer care, home page, etc.).
An example of a problem that we solve includes designing an efficient loyalty program and the best data driven communication channels for our customers. Should you have a question about which incentives to offer our customers to keep them engaged in the platform, we are your people! Currently, our team has been busy working on Machine Learning based cross-selling offers, which will help Gojek to grow in an efficient manner by recommending the right services to our customers, while at the same time improving customer experience.
We are a tight-knit group made up of crypto-enthusiasts, national badminton champion, youtubers, photographers, and movie fanatics! We work hard and play hard, and believe it or not, we actually enjoy each other’s company!";Posted25 hari yang lalu;https://id.indeed.com/rc/clk?jk=7e7da9e92e8ff1ad&fccid=35c79097c1f63f3d&vjs=3
Credit Analyst;Toko Bagus (OLX Autos);Jakarta;NaN;NA;"What you’ll do: (Job Responsibility)
Doing analytics based on credit analyst aspect
Work with sales/marketing team to provide completed documentation for application
Coordination with our partner to approve the credit request
TAT approval, make sure the process within SLA
Make sure the quality from the application
You’ll be great for this role if: (Requirement)\
2-3 year of experience in handling credit analyst
Min. Bachelor’s degree
Strong with analyze credit data
Having a good communication skills
Can adapted in fast phase working environment
Having experience in detecting fraud document";Posted5 hari yang lalu;https://id.indeed.com/rc/clk?jk=37b6502e0f35837b&fccid=dd616958bd9ddc12&vjs=3
Data Analyst;Home Credit;Jakarta;NaN;NA;"Minimum Qualifications
Bachelor degree, preferably IT, statistics
At least 2 years experience with data analytic, data mining, business intelligent, analysis tools
Excellent SQL knowledge
Advanced excel skills – lookup functions, pivot tables, validations, macros
Have experience in building dashboard using data visualization tools
Strong analytical skills with the ability to process & clean data, identify & analyze trends and create insights
Excellent command in English, both written and spoken
Job Description
Review data mining, prepare analysis and deliver reporting (regular and aD-hoc) and ensure the accuracy and deliver in timely manner.
Provide process automatization (SQL jobs, procedures, ODBC to excel) to support and improve current business process.
Maintain and generate the regular reports (daily, weekly, monthly) to understand the trends, highlight the issues, correlations and other outcomes, and forming clear and propose recommendation
To build and maintain tools for transactional process such as integrating external data into datawarehouse
Ensure and promote compliance data processing rules and Information security standards";Posted23 hari yang lalu;https://id.indeed.com/rc/clk?jk=666ddde892fb7c74&fccid=55c29561e89dbef7&vjs=3
Data Analyst;Funding Societies;Jakarta;NaN;NA;"As a data analyst, you will be at the intersection of our Business and Data in Funding Societies working primarily with our Finance or Risk team as well as other tech and business teams to enable your work. You will also drive automation across a range of finance, risk, credit and operational processes. You will deep dive into the economics of our customers/products and spend your time in financial reporting, analysis, credit risk and more.
We are looking for a candidate with a strong sense of ownership, a deep appreciation of data and fundamental understanding of end-to-end analytics functions. As long as you are adding value to the business, you are your own boss. The way we work doesn’t suit everyone. But if you are humble, love autonomy and enjoy life changing professional challenges, we could be perfect for each other.
What you’ll be responsible for:
Collaborate with cross-functional stakeholders to understand business drivers, formulate and complete end-to-end analytics solutions
Design, develop and maintain self-service reports, dashboards and analysis on interactive BI tools for easier data visualization
Contribute in collection, processing and modelling of financial data using SQL from complex databases to integrate into data warehouse that can be used for reporting/analysis and to give recommendations and drive decision making
Deliver effective presentations of findings and recommendations to different audiences, creating visual displays of quantitative information that drives financial decisions in the business
Find innovative and creative ways to obtain and drill insights from new financial data
You may shine in this role if you have:
You have a (minimum) Bachelor’s degree in Quantitative/Technical field, exposure /minor in finance/accounting preferred
Problem-solver, keen learner and data enthusiast. Highly analytical, curious & business focused.
Confident and clear communication, especially of complex ideas and information and collaborating across teams
Outstanding SQL skills (Python is a plus!)
Data Warehousing, Data Governance and ETL/ ELT processesknowledge will be a strong advantage
Experience with BI tools, such as Tableau, Sisense, PowerBI etc
Experience translating analysis results into actionable business recommendations
Able to work independently and as a team to support multiple countries concurrently, able to multi-task and stay organized in a fast-paced environment";Posted30+ hari yang lalu;https://id.indeed.com/rc/clk?jk=b3e756bdbefe1385&fccid=6f7889059d7ef6f6&vjs=3
STAFF DATA ANALIS;Cv. Boga Kawan Selaras;Bandung;Rp. 2.500.000 - Rp. 3.000.000 per bulan;NA;Deskripsi Pekerjaan Admin Data :1. Melakukan proses pembuatan data awal untuk dilakukan proses upload ke sistem.2. Merapihkan dan menyusun ulang database sehingga sesuai dengan karakter data untuk input sistem.3. Melakukan proses perubahan database ke sistem jika diperlukan oleh management.4. Mampu melakukan pencatatan secara akurat terhadap menu - menu yang disampaikanKlasifikasi :1. Pendidikan Min D3 Sistem Informasi/Akuntansi2. Wanita usia max 40 Tahun3. Memiliki pengalaman sebagai admin data diutamakan4. Menguasai Excel berserta rumusnya dan mampu mengembangkan rumus - rumus excel sesuai dengan kebutuhan perusahaan.5. Mampu bekerja dibawah tekanan6. Memiliki motivasi, disiplin , kejujuran yang baik dalam bekerja.Benefit :1. Gaji Pokok2. Mess3. Makan siang tergantung penempatanJenis Pekerjaan: Kontrak, PermanenGaji: Rp2.500.000 - Rp3.000.000 per bulanPanjang kontrak: 12 bulanJenis Pekerjaan: Penuh Waktu, KontrakGaji: Rp2.500.000 - Rp3.000.000 per bulan;Posted9 hari yang lalu;https://id.indeed.com/company/Cv.-Boga-Kawan-Selaras/jobs/Staff-Data-Analis-4f1ac38d97aedcd1?fccid=31f28dfbb419f59a&vjs=3
2022 Asia Analyst Development Program - Full Time Analyst - Indonesia;JPMorgan Chase Bank, N.A.;Jakarta;NaN;NA;"2022 ASIA ANALYST DEVELOPMENT PROGRAM - FULL TIME OPPORTUNITY - INDONESIA
If you enjoy collaborating and identifying ways to improve processes, then our Asia Analyst Development Program is right for you. You'll work with a variety of professionals to drive growth, make sure operations are effective and manage risk while maintaining the highest standards.
You'll gain insight into how our businesses come together to serve our clients around the world. You'll have the opportunity to make meaningful contributions while developing your professional expertise in a dynamic team environment.
Working here means joining a collaborative, supportive team. We want your diverse perspective to help us innovate the next wave of products and solutions for our clients. We'll give you what you need to succeed including training, mentoring, access to senior leaders and projects that engage all your skills.
What to expect

This two-year rotational program offers the unique opportunity to sharpen your technical, analytical and leadership skills. You'll start with hands-on training, and then participate in three eight-months business aligned rotations across both revenue and non-revenue generating divisions from front, middle to back office roles. Upon successful completion of the program, we will work with you to identify your next role.
Holding the permanent right to work in Indonesia is an advantage, however, candidates requiring visa sponsorship may still apply.
About you

We're looking for motivated individuals with the vision and initiative to develop solutions that drive change. All majors are welcome to apply.
Key skills and qualities include:Excellent project management and problem-solving skills
Exceptional interpersonal and communication skills
A strong team player who is proactive, responsive and can thrive in a fast-paced, collaborative environment
Ability to take large amounts of information and use it to develop innovative solutions with strong attention to detail
Excel, PowerPoint and Word proficiency
Enthusiasm for financial services or financial industry with an open mind to learn all functions in a financial institution, with no particular preference
Relevant experience and demonstrated leadership in a school or community organization
Pursuing a degree qualification with solid academic background, with an expected graduation of September 2021 and July 2022
Available to start full-time employment from July 2022 onwards
We're a global company whose primary business language is English and so fluency in English is required
Fluency in Bahasa Indonesia is required as the candidate will be interacting with Indonesian clients
Business level written and spoken Bahasa Indonesia is essential to support the Firm's Indonesian operations
Relocation assistance will not be provided for the Asia Analyst Development Program
Our Mission
Talent is the currency of our business. Our commitment to providing best-in-class industry solutions is enabled by you. In turn, we offer a framework for career growth through unmatched training, experiences and access across our businesses in over 100 countries. Our collaborative culture is designed to support your success - wherever it takes you.
Application Deadline
December 31, 2021 (23:59 Local Time)
What's next?

Help us learn about you by submitting a complete and thoughtful application, which includes your resume. Your application and resume is a way for us to initially get to know you, so it's important to complete all relevant application questions so we have as much information about you as possible.
After you confirm your application, we will review it to determine whether you meet certain required qualifications.
If you are advanced to the next step of the process, you'll receive an email invitation to complete a series of 12 games through the pymetrics platform. pymetrics will allow you to showcase your potential beyond what you tell us in your resume and application form. It's an additional data point that helps us gain a better understanding of who you are as an individual. It should take no longer than 25-35 minutes to complete. If you have already completed the pymetrics games, you will have the opportunity to submit your gameplay results for this specific application without having to replay the games.
Following completion of pymetrics, you'll receive another email invitation to complete a video interview, powered by HireVue. This is your opportunity to further bring your resume to life and showcase your experience for our recruiting team and hiring managers.
Both pymetrics and HireVue are required, and your application will not be considered for further review until you have completed them.
Please email us at jpmorgan_asia_recruiting@jpmorgan.com for any enquiries, and visit jpmorganchase.com/careers for upcoming events, career advice, our locations and more.
JPMorgan Chase is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities.
Reasonable Adjustments

J.P. Morgan is an inclusive employer of choice. If you require any adjustments to enable you to perform the essential functions of your job, please do not hesitate to contact your recruiter.
©2021 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.";Posted10 hari yang lalu;https://id.indeed.com/rc/clk?jk=5614a7ab60c91161&fccid=aaf3b433897ea465&vjs=3
eCommerce Analyst (Mama’s Choice);Tickled Media;Jakarta;NaN;NA;"Mama’s Choice is a new brand of personal care products for mothers and babies. We are part of a group that owns the biggest parenting platform in SEA; Tickled Media. Mama’s Choice was recently launched in Indonesia and our products are distributed in both e-commerce platforms and departmental stores.
Combining science and halal requirements, Mama's Choice products are formulated with carefully selected, natural ingredients. Every ingredient is assessed and carefully picked. Our products do not contain harmful chemicals or toxins to ensure safe use by pregnant or nursing mothers.
Headquartered in Singapore, Mama’s Choice also has offices in Indonesia and Thailand.
About the role
Analyzing sales-related data to predict future sales and as well as stock requirements.
Ensuring optimum visibility in all eCommerce by joining campaigns, listing on flash sales, activate supporting features, and all other promotions
Building & managing relationship with an account manager in all eCommerce platform to increase our online presence
Working closely with the fulfillment team to ensure stock allocation is properly managed across eCommerce platform to optimize sales
Assisting with decisions about promotions such as price discounts, vouchers, bundling prices, free shipping, and affordable bulk packages.
Creating & monitoring store pages across different eCommerce platform that includes store page, product description page, 3PL options, eCommerce features, and all other relevant eCommerce related requirements.
Creating & managing new and existing products that include product description page creation and management, new SKU content creation & all related e-commerce content
Ensuring that payment, 3PL, and other shopping options and promotional tabs are configured correctly.
Teaming up with our Graphic Designer Team, Content Marketing & Fulfillment to increase the online presence of our website.
What are we looking for
Fresh graduates are welcome to apply!
Data-driven; strong analytical & critical thinking
Good command of Ms.Excel and other tools used for the optimization
Have experience and knowledge in eCommerce
Good analytical skills and experience generating sales reports
Eager to learn and adopt new tools/technologies as well as share knowledge with others
Have a self-starting attitude – the ability to work independently and take initiatives
Have the ability to manage multiple projects simultaneously
Have the ability to work as a team both internal & external teams
Knowledgeable about consumer preferences, particularly as these relate to e-commerce.
Fluent in English verbally and written
What can you expect
A fast paced environment to learn and grow in your career with a market leader with ambitious growth plans. Opportunities to learn about and work in different areas of this field and become a well rounded professional. Dynamic and supportive work culture. A passionate team of people working tirelessly to help women across South East Asia and beyond
3i380Y9UDA";PostedHari Ini;https://id.indeed.com/rc/clk?jk=cfe2585c49f77cd4&fccid=2d5aa2e3bbae15db&vjs=3
Marketing Data Analyst;Global Tiket Network;Jakarta;NaN;NA;"Job Description:
Execute the development of comprehensive online marketing strategies alongside the data & insights team
Execute the execution of the holistic data and insight strategy
Able to cascade the information & insights from inside or outside the company to the internal team
Best voice to represent marketing tech divisions to the cross function team
Show great results in the lead the projects

Requirements:
Minimal 4-6 years experience
Have a bachelor’s degree (master’s preferred) in a business or a quantitative discipline such as Marketing, Business, Marketing, Computer Science, Information Technology, or any other related field
Advance SQL as well as proven skills and experience working with at least one other major databases platform for example, DB2, Server, Sybase, Oracle, Postgres, Appsflyer, AppAnnie, Google, Facebook, Twitters, Google Analytics, MS Office and other 3rd party measurements
Strong analytical Skill
Good communication skills
Good interpersonal skills
In the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination.
Skills Requirements
Sql
Appsflyer
AppAnnie";Posted2 hari yang lalu;https://id.indeed.com/rc/clk?jk=e53dfdc30a9546e5&fccid=86d817bdde43fd0e&vjs=3
Data Analyst;Itommey Bintang Indonesia PT;Jakarta;NaN;NA;"
1 year of industry experience in data analytics area.
Experience in working with multiple business stakeholders and acting as key data partner in teams with at least one of the following industries: media (SVOD, OTT are preferred), e-commerce, payment, FMCG/Retail, etc.
Skillful in collecting, organizing, analyzing and disseminating a significant amount of information with attention to detail and accuracy.
Experience in SQL programming as a basic tool to handle data.
Experience in data visual analysis using any data visualization software (Tableau, Power BI, ClickView, Data Studio), preferable Tableau.
Good command of Excel (vlookup, pivot tables, conditional formatting, importing CSV files, creating charts).
Possess strong ownership, willing to take initiative, and resourceful in terms of solving problems.
Good data analysis, management, and visualization skills. Able to identify trends, solutions and inform decisions.
A real passion for innovation and a willingness to constantly challenge the status quo.";Posted28 hari yang lalu;https://id.indeed.com/rc/clk?jk=670f9d2bdc036ba6&fccid=fd6e6d7d6885a60e&vjs=3
Data Analyst;Awan Tunai;Jakarta;NaN;NA;"Assists Head of National Sales & Digital Sales to analyze and identify key opportunities for growth (strong area and/or competitor), and potential blockers, build a feedback loop that improves the sales strategy mainly in FMCG market over time by calculating and monitoring Portfolio

Develop and monitoring dashboard periodically of achievement each sales product

Analyse area expansion and keep record of sales trends

On the ground visit to get the feeling of product composition to be used in analysis

Crunching internal & external data to machine learning

Be a project leader to execute end-to-end program flow to drive sales.

Prepare program design to be rolled out by the Sales Team.
Bachelor Degree in Computer Science or Statistics

Minimum 3 years experience as Data Analyst or Data Scientist at FMCG/Banking/Financial Services company

Functional knowledge of the application of data analysis, machine learning, data mining, and statistical analysis

Working knowledge of databases systems, data processing and visualization tools, and data science languages like Python, R, and MySQL

Ability to take ambiguous directions and high-level descriptions of problems and identify precise, quantitative solutions

Demonstrated ability to communicate with data in a clear and precise way to a business audience and company customers";Posted24 hari yang lalu;https://id.indeed.com/rc/clk?jk=c1ec410026a74f7a&fccid=dd616958bd9ddc12&vjs=3
Data Analyst - GoFood;GO-JEK;Jakarta;NaN;3.9;"Location
Jakarta
Work Type
Permanent
Application Posted
October 25, 2021
About the Role
As our Business Intelligence Analyst, you’ll be an instrumental player in the GoFood team based in Bengaluru. Collaborating with the Business and Product teams, you’ll focus your efforts on supporting the analytics and data products (automated dashboards, reports, alerts, and simulation tools) which aim to create business impact at scale. Specifically, you’ll conduct general analysis on each new feature/product, dive deep into understanding user behavior insights to make sound business decisions, and provide data visualizations to track GoFood’s overall performances. Your efforts will aid GoFood at a level of detail that enables our stakeholders to identify and address critical issues and align deliverables according to the team’s priorities and requirements.
What You Will Do
Craft strategic initiatives for GoFood that are focused on analysis and experimentation; work closely with the Content & Quality streams to improve the platform’s user experience
Deliver insight and analysis using statistical tools, data visualization, and business use cases with the Product and Business teams
Conduct analysis to determine new project pilot settings, new features, user behavior, and in-app behavior
Build & maintain dashboards for tracking business performance and product adoption
Assist Product Managers and Business teams in creating data-backed decisions
Collaborate with GoFood’s Product and Business teams in identifying new avenues for growth and opportunities, and back their product delivery with experimentation
Build first cut Machine Learning models based on product requirements
Automate data extraction by creating de-normalized tablesWhat You Will Need
At least 4 years of work experience dealing with product analytics, data, and statistics
Expertise in SQL with experience using data visualization and dashboarding tools (e.g. Tableau, Metabase, Google Data Studio, Clevertap, Python)
Experience in Machine Learning technologies (i.e. forecasting, clustering, statistical significance test, predictive modeling, and text mining)
Experience in delivering products as end-to-end data solutions (from data pipelining to analysis, presenting, and scalable adaption)
A strong business sense with the ability to transform ambiguous business and product issues into well-scoped, impactful analysis
Strong ability to design and conduct simple experiments
A goal-oriented, critical-thinking mindset with the ability to work equally well within a team and independently with minimal supervisionAbout the Team
Our GoFood Data squad is a family of around 20 GoTroops based in India and Indonesia. Together, we run Southeast Asia’s fastest-growing food delivery service. As nasi goreng is to the people of Indonesia, we are to Gojek: providing the nourishment to sustain our business from the inside out.
The gist of our role is to oversee all things data for GoFood, acting as a thought partner for our Business and Product teams to make well-analyzed, data-backed business decisions to ultimately fuel GoFood’s innovations and evolutions. Through the use of our data products (automated dashboards, reports, alerts, and simulation tools), we dive deep into data surrounding user experience, adoption rates, and in-app behavior, conducting experiments to better understand what makes our users and products gel.
So far, our team has created a massive impact across various user journeys - from search, recommendations, the discovery of merchants, to food preparation time, just to name a few. We’re currently hard at work with our Product Managers to construct new machine learning solutions for projects surrounding the reduction of wait times to the expansion of food variety.
All that said, don’t be fooled by our hard work; we know how to play hard, too. Contrary to popular belief, our team actually enjoys each other’s company. When we aren’t busy analyzing user trends or conducting experiments, you’ll find us ordering some delicious meals on GoFood (what can we say... we're loyal), battling it out in a game of Among Us, or trying to survive an intense workout session together.";Posted29 hari yang lalu;https://id.indeed.com/rc/clk?jk=8ea21f992ccce982&fccid=35c79097c1f63f3d&vjs=3
